SDG S/O Number;Ncode;Customer PO No.;Otx Item;Surface;Grade;Thickness;Width;Material;Description;     Order Qty;In Production Qty;   Produced Qty;    In Transit;Transfered Qty;Final Qty;Production Balance;Warehouse STOCK Qty;RequestDeliveryDate;OTX Sales Order;Status Description;;
APC_JULY_Prep;N1731;Zoppas Industries Romania;70;2B;1.4828;0.5;30.2;542ATB050NA0007;CRC/Slit 1.4828 2B 0.50x30.2mm;18;0;-18.54;18.54;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N1080;WITZENMANN GMBH;80;2B;1.4541;0.3;1250;542ATH0303A0001;CRC/Slit 1.4541 2B 0.30x1250mm;18;0;0;0;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N12963;Lemvigh-Mueller A/S;90;2B;1.4541;0.4;800;542ATH040NA0023;CRC/Slit 1.4541 2B 0.40x800mm;18;0;0;0;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N12955;Lemvigh-Mueller A/S;100;2B;1.4541;0.5;1250;542ATH0503A0001;CRC/Slit 1.4541 2B 0.50x1250mm;36;0;0;0;0;0;-36;3.278;46752;32090482;;;
APC_JULY_Prep;N16675;Damstahl a/s;110;2B;1.4541;0.6;1250;542ATH0603A0002;CRC/Slit 1.4541 2B 0.60x1250mm;36;0;0;0;0;0;-36;0;46752;32090482;;;
APC_JULY_Prep;N16633;ALSIMA D.O.O.;120;2B;1.4301;0.4;49.7;542ATY040NA0148;CRC/SLIT 1.4301 2B 0.4X49.7MM;54;0;-38.08;38.08;0;0;-54;0;46752;32090482;;;
APC_JULY_Prep;N3455C;ESG EDELSTAHL SCHNEIDSERVICE GMBH;130;2B;1.4301;0.5;565;542ATY050NA0068;CRC/Slit 1.4301 2B 0.50x565mm;18;0;-18.95;18.95;0;0;-18;29.234;46752;32090482;;;
APC_JULY_Prep;N10239;Alfa Laval Technologies AB;140;2B;1.4301;0.25;125;542ATY025NA0012;CRC/Slit 1.4301 2B 0.25x125mm;18;0;0;0;0;0;-18;11.129;46752;32090482;;;
APC_JULY_Prep;N1469;Klaus Baier GmbH & Co. KG;150;2B;1.4301;0.3;400;542ATY030NA0006;CRC/Slit 1.4301 2B 0.30x400mm;36;0;-35.59;35.59;0;0;-36;18.811;46752;32090482;;;
APC_JULY_Prep;N7531A;Alfa Laval Technologies AB;160;2B;1.4301;0.481;750;542ATY050NA0240;CRC/Slit 1.4301 2B 0.481x750mm;36;39.66;-18.78;18.78;0;0;-36;8.2;46752;32090482;;;
APC_JULY_Prep;N10625;Danfoss SRL;170;2B;1.4301;0.5;388;542ATY050NA0165;CRC/Slit 1.4301 2B 0.50x388mm;18;0;0;0;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N0240;Watco Companies LLC;180;2B;1.4404;0.3;82;542ATL030NA0001;CRC/Slit 1.4404 2B 0.30x82mm;54;0;-58.08;58.08;0;0;-54;47.216;46752;32090482;;;
APC_JULY_Prep;N14672;Solar Metal Flex;190;2B;1.4404;0.3;124;542ATL030NA0092;CRC/Slit 1.4404 2B 0.30x124mm;54;0;-59.06;59.06;0;0;-54;0;46752;32090482;;;
APC_JULY_Prep;N3423;Kelvion Brazed PHE GmbH;200;2B;1.4404;0.3;102;542ATL030NA0024;CRC/Slit 1.4404 2B 0.30x102mm;18;0;-18.16;18.16;0;0;-18;4.044;46752;32090482;;;
APC_JULY_Prep;N7947;Kelvion Brazed PHE GmbH;210;2B;1.4404;0.35;136;542ATL035NA0007;CRC/Slit 1.4404 2B 0.35x136mm;18;0;-19.22;19.22;0;0;-18;0;46752;32090482;;;
